,precision,recall,fscores,MAPs,nDCGs
0,0.2,0.03466616054128953,0.056445278033513326,0.2,0.14888888888888888
1,0.16444444444444445,0.052599445121632935,0.0736965421271519,0.24,0.14024779257386738
2,0.15259259259259253,0.07090027165052963,0.0886896586799053,0.265925925925926,0.13852638163285946
3,0.13666666666666666,0.08394007525173673,0.09499506271951194,0.2725925925925926,0.13744594429565307
4,0.13066666666666651,0.09963351761184572,0.10304698583549031,0.27460493827160504,0.14085553184385752
5,0.12000000000000006,0.10790837855337333,0.1034801964836603,0.27801234567901245,0.14088233490504615
6,0.11492063492063483,0.11993339057838535,0.10697592699921434,0.2713350970017638,0.14470269799546523
7,0.10722222222222222,0.12567854049020194,0.10563122212648872,0.27241693121693134,0.14590890991311897
8,0.105185185185185,0.13824966254171614,0.10958215787863677,0.2719389770723106,0.15066707066939253
9,0.10266666666666668,0.14931203227075257,0.11197175979121281,0.26739148400100804,0.1546568320009588
